run_id,participant,session,trial_index,trial_id,image_file,sample_index,sample_session_s,sample_unix_s,sample_from_image_onset_s,gaze_x_pix,gaze_y_pix,screen_width_px,screen_height_px,image_stim_width_units,image_stim_height_units,image_stim_center_x_units,image_stim_center_y_units,units
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,88,73.563733,1779113449.026456,1.45,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,89,73.5804,1779113449.043123,1.466667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,90,73.597067,1779113449.059789,1.483333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,91,73.613733,1779113449.076456,1.5,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,92,73.6304,1779113449.093122,1.516667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,93,73.647067,1779113449.109789,1.533333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,94,73.663733,1779113449.126456,1.55,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,95,73.6804,1779113449.143122,1.566667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,96,73.697067,1779113449.159789,1.583333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,97,73.713733,1779113449.176456,1.6,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,98,73.7304,1779113449.193122,1.616667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,99,73.747067,1779113449.209789,1.633333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,100,73.763733,1779113449.226456,1.65,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,101,73.7804,1779113449.243123,1.666667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,102,73.797067,1779113449.259789,1.683333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,103,73.813733,1779113449.276456,1.7,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,104,73.8304,1779113449.293123,1.716667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,105,73.847067,1779113449.309789,1.733333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,106,73.863733,1779113449.326456,1.75,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,107,73.8804,1779113449.343122,1.766667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,108,73.897067,1779113449.359789,1.783333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,109,73.913733,1779113449.376456,1.8,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,110,73.9304,1779113449.393122,1.816667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,111,73.947067,1779113449.409789,1.833333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,112,73.963733,1779113449.426456,1.85,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,113,73.9804,1779113449.443122,1.866667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,114,73.997067,1779113449.459789,1.883333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
